mnemonic,Number of jobs,Median,Mean
S12000047,100000,34427.0,38287
S12000048,#,,43523
S12000049,163000,34381.0,38355
S12000050,98000,35102.0,37495
E07000117,21000,30932.0,34084
E07000118,30000,32845.0,39549
E07000119,20000,37399.0,44871
E07000120,19000,31143.0,36251
E07000121,32000,30606.0,33863
E07000122,18000,26437.0,32615
E07000123,31000,33188.0,36930
E07000124,15000,39069.0,40973
E07000125,14000,30564.0,34495
E07000126,29000,32713.0,37850
E07000127,26000,34722.0,39224
E07000128,24000,32980.0,37773
E07000032,31000,32764.0,39752
E07000033,22000,26195.0,31484
E07000034,#,,35695
E07000035,18000,36908.0,41594
E07000036,33000,33690.0,37791
E07000037,27000,33634.0,39762
E07000038,22000,33235.0,36883
E07000039,33000,37326.0,41138
E07000129,27000,33566.0,38407
E07000130,42000,34379.0,39875
E07000131,22000,35363.0,47135
E07000132,33000,33519.0,38377
E07000133,9000,30705.0,36288
E07000134,28000,35206.0,42008
E07000135,13000,29339.0,34225
E07000136,#,,31873
E07000137,29000,30229.0,34998
E07000138,24000,31430.0,34121
E07000139,32000,33570.0,36958
E07000140,#,,36903
E07000141,39000,32233.0,42543
E07000142,#,,#
E07000170,31000,30122.0,34615
E07000171,#,,35458
E07000172,29000,34686.0,39438
E07000173,31000,33912.0,38173
E07000174,28000,28743.0,32169
E07000175,30000,34766.0,37932
E07000176,29000,38031.0,45456
E07000192,24000,31390.0,33816
E07000193,32000,31203.0,37942
E07000194,#,,#
E07000195,33000,32636.0,35999
E07000196,29000,37728.0,39590
E07000197,39000,37103.0,42562
E07000198,26000,36977.0,41975
E07000199,19000,34878.0,37779
E07000218,20000,37231.0,43005
E07000219,37000,29694.0,33755
E07000220,33000,37309.0,39769
E07000221,34000,36763.0,49509
E07000222,40000,41242.0,48546
E07000234,29000,38416.0,46724
E07000235,17000,37895.0,42826
E07000236,24000,30957.0,35379
E07000237,#,,40232
E07000238,35000,34177.0,39717
E07000239,#,,36779
E07000008,41000,40914.0,48888
E07000009,#,,43628
E07000010,28000,33771.0,36911
E07000011,57000,35405.0,40408
E07000012,53000,42141.0,47365
E07000066,47000,36802.0,44495
E07000067,40000,36674.0,43039
E07000068,20000,49961.0,#
E07000069,19000,33865.0,45907
E07000070,33000,36252.0,44669
E07000071,46000,36125.0,52931
E07000072,29000,44990.0,60881
E07000073,20000,31819.0,37530
E07000074,14000,,55266
E07000075,16000,42223.0,53610
E07000076,27000,33312.0,40346
E07000077,19000,41495.0,51878
E07000095,24000,37955.0,49702
E07000096,39000,39475.0,49114
E07000098,#,,#
E07000099,37000,43397.0,50681
E07000102,24000,39416.0,53580
E07000103,28000,38981.0,44958
E07000143,31000,31807.0,34664
E07000144,37000,34293.0,39879
E07000145,24000,32130.0,36917
E07000146,39000,32500.0,37846
E07000147,18000,28433.0,32648
E07000148,35000,33429.0,36832
E07000149,39000,34726.0,39082
E07000200,24000,30901.0,39568
E07000202,42000,33346.0,37442
E07000203,30000,34728.0,45281
E07000240,43000,47641.0,70433
E07000241,29000,40006.0,42676
E07000242,38000,46216.0,61857
E07000243,21000,33590.0,36479
E07000244,61000,33958.0,38275
E07000245,45000,33980.0,38819
E07000061,26000,36629.0,40343
E07000062,20000,31821.0,32869
E07000063,19000,35757.0,43659
E07000064,19000,31019.0,44839
E07000065,35000,34735.0,40342
E07000084,61000,39564.0,47332
E07000085,36000,37879.0,47605
E07000086,48000,37401.0,41406
E07000087,#,,45872
E07000088,29000,32354.0,35912
E07000089,33000,47083.0,52386
E07000090,32000,32329.0,39665
E07000091,43000,36825.0,43128
E07000092,32000,35565.0,40245
E07000093,44000,38345.0,42690
E07000094,38000,40600.0,51390
E07000105,40000,32841.0,38496
E07000106,31000,,42500
E07000107,36000,37243.0,45576
E07000108,24000,35054.0,42310
E07000109,#,,44294
E07000110,50000,33369.0,40568
E07000111,28000,41239.0,45023
E07000112,#,,38294
E07000113,36000,36859.0,42000
E07000114,33000,32622.0,35772
E07000115,38000,,46920
E07000116,31000,37040.0,51553
E07000177,55000,37518.0,42628
E07000178,41000,37617.0,42464
E07000179,44000,41244.0,50567
E07000180,49000,38811.0,45116
E07000181,32000,36330.0,39057
E07000207,35000,48664.0,#
E07000208,26000,41673.0,52093
E07000209,39000,40142.0,54897
E07000210,#,,#
E07000211,45000,41387.0,50434
E07000212,18000,43304.0,52920
E07000213,26000,40579.0,46003
E07000214,25000,44148.0,56032
E07000215,19000,41654.0,45871
E07000216,33000,46689.0,62659
E07000217,28000,42326.0,50406
E07000223,13000,32997.0,39738
E07000224,31000,30031.0,35182
E07000225,27000,35598.0,41486
E07000226,30000,34385.0,42434
E07000227,39000,37313.0,44080
E07000228,44000,40611.0,49527
E07000229,34000,33541.0,38982
E07000040,#,,39857
E07000041,33000,32827.0,37214
E07000042,#,,#
E07000043,#,,#
E07000044,15000,33941.0,39096
E07000045,34000,29110.0,33496
E07000046,16000,30328.0,33552
E07000047,10000,30246.0,31665
E07000078,34000,35973.0,43857
E07000079,21000,36234.0,43458
E07000080,20000,38299.0,39772
E07000081,35000,31475.0,38905
E07000082,29000,35032.0,39462
E07000083,24000,34638.0,40483
E10000010,129000,31218.0,35241
